company_name,distance,jobs,location,num_employees,rating,rome_code
ACCENTURE,98.1,Animateur qualité,BLAGNAC,100,2.5,H1502
,,,,,,
SODEXHO FRANCE ENTREPRISES ADMINISTRAT,97.4,Responsable restaurant,TOULOUSE,20,3.5,G1802
YMCA SERVICES,95.5,Animateur qualité,CORNEBARRIEU,0,2.5,H1502
SAFRAN LANDING SYSTEMS,70.1,Opérateur process poudrage,BIDOS,500,3.3,H3404
SOGECLAIR AEROSPACE SAS,98.2,Animateur qualité,BLAGNAC,0,2.5,H1502
GE DES INDUSTRIES D'OC TOULOUSE,92,TECHNICIEN SERVICES GENERAUX,MURET,0,2.8,I1203
MERIAL,98.2,Animateur qualité,TOULOUSE,250,2.7,H1502
CT INGENIERIE,95.3,Animateur qualité,COLOMIERS,100,2.5,H1502
EURO ENGINEERING,98,Animateur qualité,BLAGNAC,1000,2.5,H1502
,,,,,,
AQUITAINE PHARM INTERNATIONAL,41.6,Animateur qualité,IDRON,100,2.7,H1502
EVOLUTEC INGENIERIE,42.2,Animateur qualité,PAU,0,3.1,H1502
COPYR,83.4,Opérateur cariste,LORP,0,3.4,N1101
HOTEL DU PARC BEAUMONT,46.8,Responsable restaurant,PAU,50,2.5,G1802
LA GRANGE,91.7,Responsable restaurant,MURET,0,2.5,G1802
,,,,,,
DEVOTEAM,97,Animateur qualité,TOULOUSE,100,2.5,H1502
B & T ASSOCIES,98,Animateur qualité,BLAGNAC,0,2.5,H1502
SONOVISION ITEP,95.6,Animateur qualité,COLOMIERS,200,2.5,H1502
CMT+,95.7,Animateur qualité,COLOMIERS,0,2.5,H1502
ORTET LOCATION TANSPORT SERVICE,72.2,Opérateur cariste,MONDAVEZAN,0,2.8,N1101
ECM,99,Animateur qualité,BLAGNAC,100,2.5,H1502
,,,,,,
UPSA SAS,92.8,Animateur qualité,LE,500,4.4,H1502
LACADEE AGRO INDUSTRIE,71.7,Animateur qualité,MONT,0,2.8,H1502
STI FRANCE,61.2,Opérateur process poudrage,ARUDY,50,4.5,H3404
CAMPING DE L'ARROS,26.5,TECHNICIEN SERVICES GENERAUX,PLAISANCE,1,2.8,I1203
AEROCONSEIL SA,98.1,Animateur qualité,BLAGNAC,0,3.5,H1502
ADF TECHNOLOGIES,95.1,Animateur qualité,COLOMIERS,0,2.8,H1502
ENEXSE,95.9,Animateur qualité,TOULOUSE,10,2.5,H1502
,,,,,,
LABORATOIRES DES PYRENEES ET DES LANDES,63.3,Apprenti laboratoire,PARDIES,0,4,H1503
HBM,91.2,Apprenti laboratoire,COLOMIERS,10,4.5,H1503
ARKEMA FRANCE,36.9,Apprenti laboratoire,LANNEMEZAN,100,4.4,H1503
LINDE FRANCE,96.1,Apprenti laboratoire,PORTET,200,3.7,H1503
CAMPING LE CABALIROS,60.5,TECHNICIEN SERVICES GENERAUX,CAUTERETS,0,2.7,I1203
COMMUNAUTÉ COMMUNES COUSERANS PYRÉNÉES,87.3,TECHNICIEN SERVICES GENERAUX,SAINT,250,3,I1203
UNITHER LIQUID MANUFACTURING,93,Apprenti laboratoire,COLOMIERS,0,4.4,H1503
PARFUMS BERDOUES,94.9,Apprenti laboratoire,CUGNAUX,20,3.5,H1503
ASSOCIATION ADMR,50.4,TECHNICIEN SERVICES GENERAUX,LAU,20,2.5,I1203
UPSA SAS,94.6,Apprenti laboratoire,AGEN,250,4.5,H1503
EVOTEC,99.7,Apprenti laboratoire,TOULOUSE,250,4,H1503
